Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,-10.7147,13.0324,0.0156,-936.024,-2.6113,NA,NA,0.0154,0.0158
A2,-1.4293,3.7388,0.006,-274.7872,-3.3984,0.0052,0.0079,0.0057,0.0063
A3,-15.54,17.8079,0.0249,-815.1231,-3.163,NA,NA,0.0248,0.025
A4,-3.2447,5.5458,0.0081,-444.918,-3.9352,NA,NA,0.0081,0.0082
A6,-0.3009,2.5595,0.0039,-141.1762,-3.8538,0.0038,0.0041,0.0039,0.004
A7,-0.738,3.0877,0.005,-205.4749,-4.05,0.0047,0.0054,0.0049,0.0051
B1,0.2476,1.7588,0.0039,93.8505,-2.7544,0.0036,0.0042,0.0037,0.0041
B2,0.2187,1.9943,0.0041,50.5216,-3.6937,0.004,0.0042,0.004,0.0042
B3,0.1216,2.0348,0.0045,-6.5084,-4.1015,0.0044,0.0045,0.0044,0.0045
B5,0.3117,1.8403,0.0038,17.9196,-4.0212,0.0038,0.0039,0.0038,0.0039
B6,0.2591,1.9309,0.0039,26.8203,-3.9925,0.0038,0.004,0.0039,0.004
B7,-0.0772,2.2607,0.0042,-100.054,-3.913,0.0041,0.0043,0.0041,0.0043
C1,0.0495,2.2099,0.0043,-10.9541,-4.4598,0.0042,0.0043,0.0042,0.0043
C2,0.3767,1.8357,0.0043,9.7945,-4.4028,0.0042,0.0043,0.0042,0.0043
C3,0.4258,1.6802,0.0047,29.2782,-4.1918,0.0046,0.0047,0.0046,0.0047
C5,-0.2388,2.4318,0.0047,-105.6155,-4.4547,0.0046,0.0048,0.0046,0.0047
C6,0.2244,1.9365,0.0042,-68.7202,-4.6414,0.0042,0.0043,0.0042,0.0043
C7,0.2909,1.8715,0.0038,-22.7462,-4.5609,0.0037,0.0038,0.0037,0.0038
D1,0.1945,2.1077,0.0037,-7.1153,-4.1686,0.0037,0.0038,0.0037,0.0038
D2,-19.4286,21.6552,0.0403,-692.0637,-4.3044,NA,NA,0.0402,0.0404
D3,-0.4044,2.6694,0.0051,-102.9629,-4.9434,0.0051,0.0052,0.0051,0.0052
D5,-0.6492,2.8503,0.0052,-178.9125,-4.3009,0.005,0.0055,0.0052,0.0053
D6,-0.1769,2.4054,0.0044,-99.7289,-3.8107,0.0043,0.0046,0.0043,0.0045
D7,-0.027,2.2755,0.0044,-36.9326,-4.0807,0.0044,0.0045,0.0044,0.0045
E1,-16.362,18.6646,0.0395,-616.0944,-3.7435,NA,NA,0.0393,0.0397
E2,-0.351,2.5932,0.0058,-108.8997,-4.3802,0.0056,0.006,0.0057,0.0059
E3,0.0235,2.3238,0.0046,-110.8266,-3.5787,0.0044,0.0051,0.0044,0.0048
E5,0.1897,2.0954,0.004,41.6128,-4.1701,0.0039,0.004,0.0039,0.004
E6,0.0323,2.0864,0.0055,-78.0157,-5.6891,0.0055,0.0056,0.0055,0.0055
E7,0.1434,1.948,0.0052,-64.0242,-4.8451,0.0051,0.0053,0.0051,0.0052
