Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI,,Min doubling time,max doubling rate
B2,0.131,1.5512,0.2627,11.1942,-3.3389,0.2535,0.2725,0.2532,0.2722,,2.638550364,0.378995987
B3,0.1247,1.6238,0.2273,13.1021,-3.2599,0.2168,0.2386,0.2165,0.2381,,3.049481657,0.327924583
B4,0.1223,1.6267,0.2494,12.2561,-3.1436,0.2382,0.2614,0.2379,0.261,,2.779258944,0.359808143
B5,0.1242,1.5754,0.2606,11.5622,-3.3605,0.2518,0.2698,0.2516,0.2695,,2.659812665,0.375966328
B6,0.1204,1.535,0.2571,12.7671,-3.3382,0.2479,0.2668,0.2477,0.2665,,2.696021706,0.370916895
B7,0.1378,1.6837,0.2431,11.1224,-3.0869,0.2329,0.254,0.2326,0.2536,,2.851284165,0.350719164
B8,0.1341,1.6501,0.2461,11.1704,-3.2877,0.238,0.2547,0.2378,0.2544,,2.816526536,0.35504725
B9,0.1389,1.6397,0.2469,9.7874,-3.3211,0.239,0.2553,0.2389,0.255,,2.807400488,0.356201406
B10,0.139,-1.5938,0.2471,10.0884,-3.3233,0.2388,0.2557,0.2387,0.2555,,2.805128209,0.356489945
B11,0.129,1.5941,0.2449,11.7331,-3.1809,0.2353,0.2552,0.235,0.2548,,2.830327401,0.353316016
C2,0.137,-1.5272,0.2636,9.0532,-3.431,0.255,0.2727,0.2548,0.2724,,2.629541656,0.380294413
C3,0.1359,1.5652,0.2639,11.6285,-3.3402,0.2548,0.2736,0.2546,0.2733,,2.626552408,0.380727221
C4,0.1268,1.7098,0.237,8.5843,-3.2479,0.2268,0.248,0.2265,0.2475,,2.924671648,0.341918725
C5,0.1272,-1.5981,0.2632,11.1546,-3.3674,0.2546,0.2723,0.2544,0.272,,2.63353792,0.379717335
C6,0.1438,1.5629,0.2632,9.9973,-3.3933,0.2545,0.2723,0.2543,0.272,,2.63353792,0.379717335
C7,0.1364,1.6783,0.2423,11.201,-3.1223,0.2326,0.2527,0.2323,0.2523,,2.860698228,0.349565008
C8,0.1332,-1.6319,0.2451,10.7846,-3.3164,0.2371,0.2534,0.2369,0.2532,,2.828017873,0.353604555
C9,0.133,-1.6077,0.2441,10.2884,-3.2794,0.2357,0.2529,0.2355,0.2526,,2.839603362,0.352161859
C10,0.1425,-1.6131,0.249,9.5676,-3.3439,0.241,0.2574,0.2408,0.2572,,2.783723617,0.359231065
C11,0.133,1.6019,0.2484,10.9219,-3.2918,0.2398,0.2574,0.2396,0.2572,,2.790447587,0.358365448
D2,0.1351,1.5327,0.2645,8.8824,-3.4333,0.2559,0.2736,0.2557,0.2733,,2.620594255,0.381592838
D3,0.1487,1.535,0.2637,9.3777,-3.2864,0.2537,0.2743,0.2535,0.2739,,2.628544484,0.380438682
D4,0.1278,1.536,0.2427,11.9243,-3.1868,0.2314,0.2548,0.2311,0.2543,,2.855983439,0.350142086
D5,0.1282,1.5142,0.2561,10.5885,-3.4151,0.2475,0.2651,0.2473,0.2648,,2.706548928,0.3694742
D6,0.1494,-1.4996,0.2608,8.9165,-3.4261,0.2521,0.2701,0.2519,0.2698,,2.657772932,0.376254867
D7,0.1594,1.6244,0.2373,10.1192,-3.1207,0.2271,0.2481,0.2269,0.2477,,2.920974212,0.342351533
D8,0.1402,1.6208,0.2469,9.9129,-3.3345,0.239,0.2553,0.2388,0.255,,2.807400488,0.356201406
D9,0.1399,1.6239,0.2462,10.278,-3.3482,0.2384,0.2544,0.2383,0.2541,,2.815382537,0.355191519
D10,0.1359,1.5934,0.2469,10.1205,-3.3366,0.2387,0.2555,0.2386,0.2552,,2.807400488,0.356201406
D11,0.1534,1.577,0.2485,9.0426,-3.1805,0.2384,0.2593,0.2382,0.2589,,2.78932467,0.358509718
E2,0.145,1.5917,0.2688,8.661,-3.3816,0.26,0.278,0.2598,0.2778,,2.578672547,0.387796427
E3,0.1386,1.5411,0.2548,9.3625,-3.1793,0.2435,0.267,0.2432,0.2665,,2.720357851,0.367598696
E4,0.1286,1.7343,0.2309,10.3816,-3.3115,0.2213,0.2412,0.2211,0.2408,,3.001936685,0.333118285
E5,0.1367,1.5341,0.2603,8.8639,-3.404,0.2517,0.2695,0.2515,0.2692,,2.662878143,0.375533519
E6,0.1442,1.5188,0.2609,8.7734,-3.4499,0.2525,0.2698,0.2523,0.2695,,2.656754237,0.376399136
E7,0.1408,1.6429,0.2403,9.0418,-3.1139,0.23,0.2512,0.2298,0.2508,,2.884507618,0.346679618
E8,0.145,-1.614,0.2448,9.8897,-3.3343,0.2369,0.2531,0.2367,0.2528,,2.831483581,0.353171746
E9,0.1494,1.5504,0.2466,9.0516,-3.3956,0.2387,0.2549,0.2386,0.2547,,2.810815817,0.355768597
E10,0.1428,-1.5793,0.2477,9.0344,-3.3537,0.2396,0.2562,0.2394,0.256,,2.798333389,0.357355562
E11,0.1623,1.5732,0.2548,9.514,-3.3062,0.2458,0.2642,0.2456,0.2639,,2.720357851,0.367598696
F2,0.1463,1.5619,0.2672,8.3039,-3.3856,0.2582,0.2766,0.258,0.2763,,2.5941137,0.385488115
F3,0.1259,-1.5199,0.2584,11.0048,-3.3969,0.2496,0.2676,0.2494,0.2673,,2.682458129,0.372792399
F4,0.1364,1.5636,0.258,11.2543,-3.2121,0.2474,0.2693,0.2472,0.2689,,2.686616979,0.372215321
F5,0.1351,1.5803,0.2646,8.8502,-3.4266,0.2563,0.2733,0.2561,0.2731,,2.619603857,0.381737108
F6,0.137,-1.5837,0.2631,9.5247,-3.4247,0.2549,0.2718,0.2547,0.2715,,2.634538885,0.379573065
F7,0.1473,1.6481,0.2369,8.8946,-3.0937,0.2263,0.2483,0.226,0.2478,,2.925906208,0.341774455
F8,0.131,1.6064,0.2419,11.5009,-3.299,0.2337,0.2505,0.2336,0.2502,,2.865428609,0.34898793
F9,0.1403,1.5087,0.2418,9.6622,-3.3786,0.2336,0.2504,0.2335,0.2502,,2.86661365,0.348843661
F10,0.1433,1.6012,0.2502,9.2414,-3.3513,0.2421,0.2587,0.2419,0.2584,,2.770372424,0.360962299
F11,0.1278,1.5995,0.2426,12.087,-3.1435,0.2326,0.2533,0.2323,0.2529,,2.857160678,0.349997817
G2,0.1294,1.5601,0.2632,10.4915,-3.3037,0.2536,0.2734,0.2534,0.2731,,2.63353792,0.379717335
G3,0.1266,1.5734,0.2521,10.7119,-3.1841,0.2411,0.2639,0.2408,0.2634,,2.749492981,0.36370342
G4,0.1357,1.5482,0.2545,10.9024,-3.1715,0.2433,0.2665,0.243,0.266,,2.72356456,0.367165888
G5,0.1347,1.5926,0.2658,9.4109,-3.4181,0.2574,0.2745,0.2573,0.2743,,2.607777203,0.383468342
G6,0.1348,-1.5716,0.2631,9.7681,-3.4299,0.2548,0.2718,0.2546,0.2716,,2.634538885,0.379573065
G7,0.1361,-1.6257,0.2384,11.9254,-3.139,0.2285,0.249,0.2283,0.2486,,2.907496563,0.343938498
G8,0.1303,1.6063,0.2442,12.2174,-3.3108,0.2361,0.2528,0.2359,0.2526,,2.838440543,0.352306129
G9,0.1406,1.5847,0.2457,11.3936,-3.3508,0.2377,0.2541,0.2375,0.2538,,2.821111846,0.354470172
G10,0.1303,1.6374,0.2473,12.9493,-3.2254,0.2385,0.2566,0.2383,0.2563,,2.802859606,0.356778484
G11,0.1499,1.565,0.2476,12.0804,-3.2243,0.238,0.2578,0.2378,0.2575,,2.799463573,0.357211292
