Time,syn3A_1,syn3A_2,syn3A_3,syn3A_4,,,,,
0,0.013404677,0.002773827,0.013180747,0.006031927,,0,0,0,0
4,0.035596807,0.017707667,0.013180747,0.006031927,,0.976652267,1.853769755,0,0
8,0.081839817,0.070201817,0.051650217,0.039382777,,1.80916021,3.231146239,1.365737193,1.87626206
12,0.092423727,0.059837627,0.049625537,0.037298137,,1.930780055,3.071406722,1.325748356,1.821876851
16,0.075427357,0.041368217,0.042030547,0.027220577,,1.727566358,2.702284926,1.159639459,1.506906666
20,0.050427317,0.036447857,0.023413097,0.024397567,,1.324929356,2.575654709,0.574538362,1.397416886
24,0.058046267,0.043942567,0.024290187,0.022171227,,1.465636724,2.762655531,0.611315237,1.301728839
28,0.054903627,0.040805527,0.027609387,0.018770757,,1.409975736,2.688589583,0.739398619,1.135233652
32,0.038347667,0.027350967,0.017167897,0.010877937,,1.051090016,2.28852393,0.264283982,0.589670081
36,0.124385977,0.107631937,0.052652877,0.054095937,,2.227785773,3.658489461,1.384963677,2.193692553
40,0.418254797,0.326273257,0.201358337,0.201328877,,3.440487133,4.767507287,2.726328888,3.507873246
44,2.168468517,2.010467737,1.406159147,1.254401097,,5.086172769,6.585894724,4.669860053,5.337346996
48,3.392454297,3.347600557,3.323614917,3.354987317,,5.533705244,7.095771161,5.530051096,6.321136741
52,3.007133857,3.058942437,3.174702507,2.925150807,,5.413139021,7.005596571,5.484212004,6.184034788
