Time,syn1.0_1,syn1.0_2,syn1.0_3,syn1.0_4
0,0,0,0,0
4,0.990643507,1.17369772,0.91971215,0.818783307
8,7.637874579,5.497734661,6.247167504,5.316701636
12,18.96023245,11.95922041,13.98032317,11.03171655
16,28.64215835,18.50742319,25.82937618,22.20602806
20,39.10098553,30.33674521,36.92425215,33.12202831
24,41.62243023,41.82979111,45.07166145,37.00424079
28,34.17479715,42.22028694,44.50865186,44.29357554
32,55.0653515,44.21268197,47.99673162,47.62815027
36,40.02442501,45.22943695,52.464581,51.68100397
40,50.11821283,44.85613256,46.73084056,45.08856468
